session_ix,n_agents,max_speed_avg,max_speed_dev,desired_distance_avg,desired_distance_dev,acceleration_avg,acceleration_dev,n_lanes,t_start,t_end,x_start,x_end,measure_point_x,accepted_dist_delta,window_size,average_velocity,rolling_average_density,rolling_average_flow
0,40,1.5,0.1,30,0,0.02,0.005,1,148,2485,200,800,500,10,100,1.492810844024057,0.0114209401709402,1.9565217391304348
1,40,1.5,0.1,30,0,0.02,0.005,2,2887,4290,200,800,500,10,100,1.492794040724644,0.0192526690391459,3.4285714285714284
2,40,1.5,0.1,30,0,0.02,0.005,3,4699,5863,200,800,500,10,100,1.4927651372035566,0.0229971387696709,4.090909090909091
3,40,1.5,0.1,30,0,0.02,0.005,1,6267,8634,200,800,500,10,100,1.492741184230403,0.0113466947960618,2.0434782608695654
4,40,1.5,0.1,30,0,0.02,0.005,2,9044,10574,200,800,500,10,100,1.4927634884195602,0.0177795874049945,2.8666666666666667
5,40,1.5,0.1,30,0,0.02,0.005,3,10998,12079,200,800,500,10,100,1.4927187900610412,0.0246697388632872,4.4
6,40,1.5,0.1,30,0,0.02,0.005,1,12481,14876,200,800,500,10,100,1.492741403263844,0.0113715277777778,2.1739130434782608
7,40,1.5,0.1,30,0,0.02,0.005,2,15297,16671,200,800,500,10,100,1.4927035326980127,0.0197454545454545,3.3076923076923075
8,40,1.5,0.1,30,0,0.02,0.005,3,17057,18276,200,800,500,10,100,1.4926426186009965,0.0218647540983606,4.166666666666667
9,40,1.5,0.1,30,0,0.02,0.005,1,18691,21039,200,800,500,10,100,1.4926019175817231,0.0114007092198581,2.0434782608695654
10,40,1.5,0.1,30,0,0.02,0.005,2,21444,22939,200,800,500,10,100,1.492591667221912,0.0179166666666666,3.571428571428572
11,40,1.5,0.1,30,0,0.02,0.005,3,23344,24541,200,800,500,10,100,1.4925458596396104,0.0222569444444444,4.0
12,40,1.5,0.1,30,0,0.02,0.005,1,24945,27304,200,800,500,10,100,1.4925141745716524,0.0113382768361582,2.0434782608695654
13,40,1.5,0.1,30,0,0.02,0.005,2,27722,29091,200,800,500,10,100,1.4924941546271877,0.0197566909975669,3.692307692307693
14,40,1.5,0.1,30,0,0.02,0.005,3,29508,30753,200,800,500,10,100,1.4925142269023115,0.0217133333333333,3.8333333333333335
15,40,1.5,0.1,30,0,0.02,0.005,1,31178,33502,200,800,500,10,100,1.4925029379333723,0.0115770609318996,1.9565217391304348
16,40,1.5,0.1,30,0,0.02,0.005,2,33921,35479,200,800,500,10,100,1.4925284238807968,0.0174626068376068,3.0
17,40,1.5,0.1,30,0,0.02,0.005,3,35884,37159,200,800,500,10,100,1.4924964941377594,0.0209375,4.0
18,40,1.5,0.1,30,0,0.02,0.005,1,37566,39961,200,800,500,10,100,1.492508956592138,0.0113090277777777,1.9565217391304348
19,40,1.5,0.1,30,0,0.02,0.005,2,40392,41822,200,800,500,10,100,1.4924869241321057,0.018815331010453,3.4285714285714284
20,40,1.5,0.1,30,0,0.02,0.005,3,42220,43454,200,800,500,10,100,1.4924384417322978,0.0217408906882591,3.8333333333333335
21,40,1.5,0.1,30,0,0.02,0.005,1,43859,46216,200,800,500,10,100,1.4923999550152265,0.0113029661016949,1.9565217391304348
22,40,1.5,0.1,30,0,0.02,0.005,2,46615,48028,200,800,500,10,100,1.4924019893978406,0.0191519434628975,3.2142857142857144
23,40,1.5,0.1,30,0,0.02,0.005,3,48449,49658,200,800,500,10,100,1.4924527296654142,0.0224586776859504,3.8333333333333335
24,40,1.5,0.1,30,0,0.02,0.005,1,50075,52462,200,800,500,10,100,1.4924589260911174,0.0113563458856346,2.0434782608695654
25,40,1.5,0.1,30,0,0.02,0.005,2,52895,54262,200,800,500,10,100,1.4924250734985514,0.0197141119221411,3.3076923076923075
26,40,1.5,0.1,30,0,0.02,0.005,3,54672,55871,200,800,500,10,100,1.4923970809133518,0.0222638888888888,4.363636363636363
27,40,1.5,0.1,30,0,0.02,0.005,1,56289,58652,200,800,500,10,100,1.4923833845341,0.011444679351656,1.9565217391304348
28,40,1.5,0.1,30,0,0.02,0.005,2,59057,60424,200,800,500,10,100,1.4923676857347523,0.0199209245742092,3.5384615384615383
29,40,1.5,0.1,30,0,0.02,0.005,3,60829,61944,200,800,500,10,100,1.492332280457436,0.0239062499999999,3.909090909090909
30,40,1.5,0.2,30,0,0.02,0.005,1,62349,64796,200,800,500,10,100,1.4923625479566744,0.0113503401360544,2.0
31,40,1.5,0.2,30,0,0.02,0.005,2,65242,66706,200,800,500,10,100,1.4923238018270888,0.0188054607508532,3.071428571428572
32,40,1.5,0.2,30,0,0.02,0.005,3,67085,68390,200,800,500,10,100,1.4923759107429475,0.021062340966921,3.3076923076923075
33,40,1.5,0.2,30,0,0.02,0.005,1,68836,71231,200,800,500,10,100,1.492314645192553,0.0115277777777777,2.0
34,40,1.5,0.2,30,0,0.02,0.005,2,71674,73102,200,800,500,10,100,1.492337014741676,0.0191142191142191,3.2857142857142856
35,40,1.5,0.2,30,0,0.02,0.005,3,73512,74599,200,800,500,10,100,1.492375615780912,0.0260626911314984,4.4
36,40,1.5,0.2,30,0,0.02,0.005,1,75042,77346,200,800,500,10,100,1.4922869908895648,0.0118365871294287,2.0869565217391304
37,40,1.5,0.2,30,0,0.02,0.005,2,77724,79267,200,800,500,10,100,1.492274069457933,0.0180312837108953,2.8666666666666667
38,40,1.5,0.2,30,0,0.02,0.005,3,79683,80772,200,800,500,10,100,1.492353172512607,0.0256957186544342,4.3
39,40,1.5,0.2,30,0,0.02,0.005,1,81203,83565,200,800,500,10,100,1.492269948277425,0.011568005637773,1.9130434782608696
40,40,1.5,0.2,30,0,0.02,0.005,2,83996,85518,200,800,500,10,100,1.492319423886814,0.0180655737704918,3.066666666666667
41,40,1.5,0.2,30,0,0.02,0.005,3,85946,87021,200,800,500,10,100,1.49235257720407,0.0258101851851851,4.7
42,40,1.5,0.2,30,0,0.02,0.005,1,87455,89794,200,800,500,10,100,1.4922826690179878,0.0117378917378917,1.7826086956521738
43,40,1.5,0.2,30,0,0.02,0.005,2,90218,91724,200,800,500,10,100,1.492278027017468,0.0183885209713023,2.933333333333333
44,40,1.5,0.2,30,0,0.02,0.005,3,92131,93281,200,800,500,10,100,1.4922623306345786,0.024011544011544,4.181818181818182
45,40,1.5,0.2,30,0,0.02,0.005,1,93704,96083,200,800,500,10,100,1.4922330492503808,0.0117752100840336,1.9130434782608696
46,40,1.5,0.2,30,0,0.02,0.005,2,96506,98108,200,800,500,10,100,1.4922568868184016,0.0171651090342679,2.625
47,40,1.5,0.2,30,0,0.02,0.005,3,98517,99668,200,800,500,10,100,1.4922677935784303,0.0241991341991341,4.090909090909091
48,40,1.5,0.2,30,0,0.02,0.005,1,100085,102477,200,800,500,10,100,1.492275218934769,0.0116597077244258,1.8695652173913044
49,40,1.5,0.2,30,0,0.02,0.005,2,102907,104363,200,800,500,10,100,1.4923153757445915,0.0190924657534246,3.0
50,40,1.5,0.2,30,0,0.02,0.005,3,104779,105965,200,800,500,10,100,1.4922683222663438,0.0231162464985994,4.0
51,40,1.5,0.2,30,0,0.02,0.005,1,106391,108757,200,800,500,10,100,1.4921600486503066,0.0114029535864979,1.9565217391304348
52,40,1.5,0.2,30,0,0.02,0.005,2,109185,110824,200,800,500,10,100,1.4922373630582173,0.016920731707317,2.875
53,40,1.5,0.2,30,0,0.02,0.005,3,111263,112500,200,800,500,10,100,1.4921829492400462,0.0218212365591397,3.583333333333333
54,40,1.5,0.2,30,0,0.02,0.005,1,112954,115221,200,800,500,10,100,1.4920609383065049,0.0118979441997063,2.090909090909091
55,40,1.5,0.2,30,0,0.02,0.005,2,115623,117027,200,800,500,10,100,1.491993007639808,0.0193831553973902,3.5
56,40,1.5,0.2,30,0,0.02,0.005,3,117451,118610,200,800,500,10,100,1.4920348234664986,0.0239080459770114,4.0
57,40,1.5,0.2,30,0,0.02,0.005,1,119055,121487,200,800,500,10,100,1.4920363669429335,0.011327857631759,1.7916666666666667
58,40,1.5,0.2,30,0,0.02,0.005,2,121914,123375,200,800,500,10,100,1.4919963214986236,0.0183333333333333,2.9285714285714284
59,40,1.5,0.2,30,0,0.02,0.005,3,123808,124972,200,800,500,10,100,1.4920276467750986,0.0238125894134478,3.727272727272727
60,40,1.5,0.3,30,0,0.02,0.005,1,125402,127767,200,800,500,10,100,1.4919781625810058,0.0122046413502109,2.0869565217391304
61,40,1.5,0.3,30,0,0.02,0.005,2,128220,129744,200,800,500,10,100,1.4920075858500297,0.0186120218579234,2.7333333333333334
62,40,1.5,0.3,30,0,0.02,0.005,3,130167,131279,200,800,500,10,100,1.4919822750363547,0.0248505231689088,4.0
63,40,1.5,0.3,30,0,0.02,0.005,1,131708,134168,200,800,500,10,100,1.4919113055136837,0.011683569979716,1.875
64,40,1.5,0.3,30,0,0.02,0.005,2,134625,136192,200,800,500,10,100,1.4919432849170766,0.0176433121019108,2.933333333333333
65,40,1.5,0.3,30,0,0.02,0.005,3,136656,137834,200,800,500,10,100,1.491987259445593,0.0235734463276835,4.363636363636363
66,40,1.5,0.3,30,0,0.02,0.005,1,138261,140576,200,800,500,10,100,1.4919816396388212,0.0123419540229884,1.9565217391304348
67,40,1.5,0.3,30,0,0.02,0.005,2,140980,142380,200,800,500,10,100,1.4920936239881637,0.0204448398576512,3.0
68,40,1.5,0.3,30,0,0.02,0.005,3,142834,144217,200,800,500,10,100,1.4920634773826849,0.0199037304452467,3.5384615384615383
69,40,1.5,0.3,30,0,0.02,0.005,1,144655,147038,200,800,500,10,100,1.4920526961589702,0.0125262054507337,1.9565217391304348
70,40,1.5,0.3,30,0,0.02,0.005,2,147458,149071,200,800,500,10,100,1.491882820565952,0.0167234262125902,2.625
71,40,1.5,0.3,30,0,0.02,0.005,3,149493,150664,200,800,500,10,100,1.4918417537287787,0.0232056737588652,4.090909090909091
72,40,1.5,0.3,30,0,0.02,0.005,1,151162,153524,200,800,500,10,100,1.49167832687475,0.0121423537702607,2.0869565217391304
73,40,1.5,0.3,30,0,0.02,0.005,2,153972,155349,200,800,500,10,100,1.4915243876630897,0.0201630434782608,3.4615384615384617
74,40,1.5,0.3,30,0,0.02,0.005,3,155766,157133,200,800,500,10,100,1.49160519016359,0.02080900243309,3.5384615384615383
75,40,1.5,0.3,30,0,0.02,0.005,1,157603,160020,200,800,500,10,100,1.4914325551941885,0.011797520661157,1.875
76,40,1.5,0.3,30,0,0.02,0.005,2,160461,162293,200,800,500,10,100,1.4915501858772018,0.0154132606721162,2.555555555555556
77,40,1.5,0.3,30,0,0.02,0.005,3,162722,163871,200,800,500,10,100,1.4916368662589932,0.0251884057971014,4.0
78,40,1.5,0.3,30,0,0.02,0.005,1,164342,166713,200,800,500,10,100,1.4915781569690163,0.0119929824561403,2.0869565217391304
79,40,1.5,0.3,30,0,0.02,0.005,2,167138,168535,200,800,500,10,100,1.4916652115583828,0.0208095238095238,3.4615384615384617
80,40,1.5,0.3,30,0,0.02,0.005,3,168988,170221,200,800,500,10,100,1.4916165121091405,0.0231713900134953,3.6666666666666665
81,40,1.5,0.3,30,0,0.02,0.005,1,170600,172986,200,800,500,10,100,1.4916851003169025,0.012231520223152,2.0
82,40,1.5,0.3,30,0,0.02,0.005,2,173418,174990,200,800,500,10,100,1.4917769906465286,0.0177513227513227,3.0
83,40,1.5,0.3,30,0,0.02,0.005,3,175438,176525,200,800,500,10,100,1.491955022325251,0.0267507645259939,4.3
84,40,1.5,0.3,30,0,0.02,0.005,1,176983,179346,200,800,500,10,100,1.4918934444466785,0.0118181818181818,1.8695652173913044
85,40,1.5,0.3,30,0,0.02,0.005,2,179789,181270,200,800,500,10,100,1.4920148176509045,0.0192648709315376,3.0
86,40,1.5,0.3,30,0,0.02,0.005,3,181682,182820,200,800,500,10,100,1.4920596573292464,0.0250146198830409,4.090909090909091
87,40,1.5,0.3,30,0,0.02,0.005,1,183207,185614,200,800,500,10,100,1.492038147362166,0.0124550484094052,1.875
88,40,1.5,0.3,30,0,0.02,0.005,2,186050,187502,200,800,500,10,100,1.491991958476367,0.0197079037800687,3.4285714285714284
89,40,1.5,0.3,30,0,0.02,0.005,3,187919,189242,200,800,500,10,100,1.4920212528092918,0.0209308176100628,3.230769230769231
90,40,1.5,0.4,30,0,0.02,0.005,1,189652,192107,200,800,500,10,100,1.492279507716704,0.0132825203252032,2.0416666666666665
91,40,1.5,0.4,30,0,0.02,0.005,2,192544,194062,200,800,500,10,100,1.4923629646887129,0.0198026315789473,3.066666666666667
92,40,1.5,0.4,30,0,0.02,0.005,3,194515,195566,200,800,500,10,100,1.4925145782307867,0.0281121642969984,4.3
93,40,1.5,0.4,30,0,0.02,0.005,1,196039,198560,200,800,500,10,100,1.49267039535574,0.013049504950495,1.88
94,40,1.5,0.4,30,0,0.02,0.005,2,199057,200696,200,800,500,10,100,1.4928260208012225,0.0190955284552845,2.75
95,40,1.5,0.4,30,0,0.02,0.005,3,201146,202375,200,800,500,10,100,1.492585689502193,0.0220867208672086,3.75
96,40,1.5,0.4,30,0,0.02,0.005,1,202835,205333,200,800,500,10,100,1.4928293010215492,0.01243,1.875
97,40,1.5,0.4,30,0,0.02,0.005,2,205820,207324,200,800,500,10,100,1.4930684030547807,0.020985603543743,3.466666666666667
98,40,1.5,0.4,30,0,0.02,0.005,3,207787,208908,200,800,500,10,100,1.4929892626771657,0.025637037037037,4.0
99,40,1.5,0.4,30,0,0.02,0.005,1,209399,211897,200,800,500,10,100,1.493110984972092,0.0126,1.875
100,40,1.5,0.4,30,0,0.02,0.005,2,212376,213944,200,800,500,10,100,1.4931736294131182,0.0188057324840764,3.2666666666666666
101,40,1.5,0.4,30,0,0.02,0.005,3,214397,215677,200,800,500,10,100,1.493425892833094,0.0237678339818417,4.0
102,40,1.5,0.4,30,0,0.02,0.005,1,216109,218621,200,800,500,10,100,1.4936139214359714,0.0127833001988071,1.84
103,40,1.5,0.4,30,0,0.02,0.005,2,219115,220474,200,800,500,10,100,1.4936782583674642,0.0228982843137254,3.4615384615384617
104,40,1.5,0.4,30,0,0.02,0.005,3,220900,222196,200,800,500,10,100,1.493715137576508,0.0224679487179487,3.4166666666666665
105,40,1.5,0.4,30,0,0.02,0.005,1,222661,225199,200,800,500,10,100,1.493844284972485,0.0126279527559055,1.72
106,40,1.5,0.4,30,0,0.02,0.005,2,225702,227229,200,800,500,10,100,1.4938891355456472,0.0194063180827886,3.1333333333333333
107,40,1.5,0.4,30,0,0.02,0.005,3,227704,228867,200,800,500,10,100,1.493750693292643,0.0259084406294706,4.2727272727272725
108,40,1.5,0.4,30,0,0.02,0.005,1,229362,231806,200,800,500,10,100,1.4938725638215553,0.01326857532379,1.9583333333333333
109,40,1.5,0.4,30,0,0.02,0.005,2,232287,233834,200,800,500,10,100,1.4939350391541266,0.0197956989247311,2.933333333333333
110,40,1.5,0.4,30,0,0.02,0.005,3,234264,235815,200,800,500,10,100,1.494153182704378,0.0180171489817792,3.066666666666667
111,40,1.5,0.4,30,0,0.02,0.005,1,236287,238705,200,800,500,10,100,1.4940826337634083,0.0125413223140495,1.7916666666666667
112,40,1.5,0.4,30,0,0.02,0.005,2,239138,240732,200,800,500,10,100,1.4940607028469286,0.0175548589341692,2.933333333333333
113,40,1.5,0.4,30,0,0.02,0.005,3,241122,242385,200,800,500,10,100,1.494372678212538,0.0240250329380764,3.5
114,40,1.5,0.4,30,0,0.02,0.005,1,242868,245371,200,800,500,10,100,1.494321853807714,0.0118729208250166,1.76
115,40,1.5,0.4,30,0,0.02,0.005,2,245844,247534,200,800,500,10,100,1.494441353964145,0.0174926253687315,2.8125
116,40,1.5,0.4,30,0,0.02,0.005,3,247971,249392,200,800,500,10,100,1.4948425376597918,0.0221286549707602,3.2142857142857144
117,40,1.5,0.4,30,0,0.02,0.005,1,249882,252407,200,800,500,10,100,1.4947058268955116,0.0123188405797101,1.84
118,40,1.5,0.4,30,0,0.02,0.005,2,252900,254369,200,800,500,10,100,1.4947834940007418,0.0202891156462585,3.357142857142857
119,40,1.5,0.4,30,0,0.02,0.005,3,254789,256001,200,800,500,10,100,1.4948719036310776,0.0242249657064472,3.8333333333333335
120,40,1.5,0.5,30,0,0.02,0.005,1,256481,258936,200,800,500,10,100,1.4948360821231708,0.0134180216802167,2.083333333333333
121,40,1.5,0.5,30,0,0.02,0.005,2,259383,260885,200,800,500,10,100,1.4950507813997798,0.0231118493909191,3.0
122,40,1.5,0.5,30,0,0.02,0.005,3,261396,262556,200,800,500,10,100,1.4953651193675233,0.0283690987124463,4.363636363636363
123,40,1.5,0.5,30,0,0.02,0.005,1,263115,265563,200,800,500,10,100,1.4954169173736258,0.0146224489795918,1.9583333333333333
124,40,1.5,0.5,30,0,0.02,0.005,2,266050,267574,200,800,500,10,100,1.4955078875743275,0.0193497267759562,3.0
125,40,1.5,0.5,30,0,0.02,0.005,3,268099,269307,200,800,500,10,100,1.4955311540837015,0.0248209366391184,3.583333333333333
126,40,1.5,0.5,30,0,0.02,0.005,1,269821,272293,200,800,500,10,100,1.4957316163219672,0.0134040404040404,1.875
127,40,1.5,0.5,30,0,0.02,0.005,2,272774,274490,200,800,500,10,100,1.495679435691922,0.018391472868217,2.5294117647058822
128,40,1.5,0.5,30,0,0.02,0.005,3,274955,276246,200,800,500,10,100,1.4963095526050771,0.0252638352638352,4.083333333333333
129,40,1.5,0.5,30,0,0.02,0.005,1,276745,279097,200,800,500,10,100,1.4963661818904908,0.013761500353857,1.9130434782608696
130,40,1.5,0.5,30,0,0.02,0.005,2,279520,280980,200,800,500,10,100,1.496573362583322,0.0231626848691695,3.4285714285714284
131,40,1.5,0.5,30,0,0.02,0.005,3,281389,282628,200,800,500,10,100,1.4966064467512554,0.0239180107526881,3.6666666666666665
132,40,1.5,0.5,30,0,0.02,0.005,1,283157,285590,200,800,500,10,100,1.4965294892599097,0.0139048596851471,1.9166666666666667
133,40,1.5,0.5,30,0,0.02,0.005,2,286045,287600,200,800,500,10,100,1.4969442013042618,0.0213087606837606,2.933333333333333
134,40,1.5,0.5,30,0,0.02,0.005,3,288123,289406,200,800,500,10,100,1.4971198919620574,0.0240337224383917,3.75
135,40,1.5,0.5,30,0,0.02,0.005,1,289934,292504,200,800,500,10,100,1.4970593032471753,0.013304207119741,1.92
136,40,1.5,0.5,30,0,0.02,0.005,2,293051,294675,200,800,500,10,100,1.4973221611953724,0.0199743589743589,2.875
